epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,1051.9,1.06381,0.59242,0.27376,0.73075,1.11257,0.96073,0.81951,0.86328,0.56828,0.96908,0.89756,0.94942,0.89388,1.35822,0.4608,0.09688,0.67823,1.13282,0.00189704,0.00189704,0.00189704
28,1067.43,1.0566,0.57028,0.26039,0.72801,1.09336,0.97148,0.83415,0.87181,0.65122,0.94883,0.88293,0.938,0.88784,1.04459,0.5741,0.08813,0.59369,1.01551,0.00189308,0.00189308,0.00189308
29,1083.5,1.01586,0.58224,0.25868,0.70189,1.08069,0.9767,0.82439,0.87515,0.663,0.94025,0.89756,0.93776,0.89124,1.05145,0.48473,0.0922,0.61814,1.02344,0.00188912,0.00188912,0.00188912
30,1099.86,1.02324,0.55826,0.25875,0.73538,1.09307,0.93898,0.82578,0.88403,0.64692,0.97307,0.88116,0.94081,0.89794,1.13862,0.49851,0.07847,0.61544,1.0639,0.00188516,0.00188516,0.00188516
31,1114.98,1.00137,0.52972,0.23363,0.70791,1.08582,0.9437,0.81463,0.87906,0.64215,0.96298,0.88825,0.9411,0.88116,1.10596,0.53174,0.07993,0.63867,1.07387,0.0018812,0.0018812,0.0018812
32,1129.53,1.0293,0.54717,0.23185,0.69238,1.07703,0.93419,0.81463,0.86772,0.55561,0.91531,0.89626,0.94081,0.87151,1.38134,0.63085,0.09606,0.63203,1.15325,0.00187724,0.00187724,0.00187724
33,1143.52,1.0599,0.55237,0.24435,0.7222,1.10087,0.97702,0.82949,0.89586,0.66603,0.96829,0.89384,0.94774,0.89492,0.99786,0.49316,0.08053,0.5345,1.01256,0.00187328,0.00187328,0.00187328
34,1158.38,0.99764,0.55541,0.22495,0.67272,1.07343,0.94053,0.84865,0.90025,0.61651,0.96216,0.86816,0.93732,0.89506,1.23653,0.48282,0.0739,0.59581,1.08891,0.00186932,0.00186932,0.00186932
35,1172.74,0.99254,0.52028,0.23003,0.67944,1.06733,0.95105,0.8529,0.89793,0.64788,0.96258,0.8783,0.93941,0.88756,1.09085,0.52066,0.08075,0.58426,1.07158,0.00186536,0.00186536,0.00186536
36,1187.32,1.01122,0.56247,0.22567,0.69442,1.08071,0.9339,0.82927,0.88044,0.61071,0.94613,0.88293,0.93764,0.89436,1.19506,0.49531,0.08521,0.69202,1.09784,0.0018614,0.0018614,0.0018614
37,1201.9,0.98689,0.51597,0.21194,0.68799,1.08354,0.90752,0.80976,0.86603,0.64089,0.93351,0.89756,0.93336,0.87572,1.11303,0.60255,0.08109,0.60923,1.07667,0.00185744,0.00185744,0.00185744
38,1216.61,0.99098,0.50419,0.21226,0.68427,1.07229,0.97102,0.81736,0.89443,0.68478,0.94193,0.88293,0.9488,0.88736,0.93084,0.54361,0.08287,0.55908,1.01287,0.00185348,0.00185348,0.00185348
39,1231.45,1.00872,0.49966,0.1996,0.7061,1.07353,0.98056,0.82927,0.86543,0.59109,0.99427,0.84668,0.94462,0.8994,1.3012,0.46724,0.07675,0.64924,1.11759,0.00184952,0.00184952,0.00184952
40,1245.75,1.01632,0.5034,0.20836,0.7069,1.08175,0.94488,0.83902,0.88971,0.69637,0.9835,0.87213,0.94197,0.8882,0.88698,0.58466,0.0843,0.54793,0.97107,0.00184556,0.00184556,0.00184556
41,1260.82,0.99302,0.48793,0.20268,0.70773,1.07223,0.94961,0.83902,0.88136,0.61368,0.97503,0.88293,0.94106,0.90227,1.21832,0.45186,0.06756,0.64538,1.09609,0.0018416,0.0018416,0.0018416
42,1275.68,0.96658,0.46858,0.19444,0.66304,1.05514,0.97007,0.83902,0.90487,0.67894,0.97789,0.8878,0.94261,0.89943,1.0218,0.482,0.0777,0.56266,1.00103,0.00183764,0.00183764,0.00183764
43,1290.35,0.96439,0.45792,0.18698,0.67076,1.05419,0.95482,0.8439,0.90021,0.64604,0.95425,0.88293,0.94061,0.90623,1.10797,0.4491,0.06899,0.56039,1.06339,0.00183368,0.00183368,0.00183368
44,1304.98,0.9938,0.49626,0.19074,0.70103,1.07685,0.98832,0.82522,0.89821,0.66702,0.96761,0.87317,0.94242,0.90678,1.02194,0.45266,0.05623,0.55217,1.00827,0.00182972,0.00182972,0.00182972
45,1319.88,0.97264,0.47974,0.18493,0.68004,1.06432,0.95218,0.82927,0.87744,0.68671,0.95306,0.89131,0.92855,0.88514,0.89081,0.58145,0.06029,0.54087,0.97481,0.00182576,0.00182576,0.00182576
46,1334.56,0.9848,0.48647,0.1709,0.68823,1.06243,0.98231,0.81278,0.87564,0.62941,0.96414,0.90244,0.95568,0.89822,1.17509,0.50054,0.06198,0.56283,1.06861,0.0018218,0.0018218,0.0018218
47,1349.03,0.94294,0.42286,0.1678,0.64775,1.04416,0.94174,0.85366,0.89646,0.66199,0.9794,0.8878,0.94392,0.90371,1.02649,0.46393,0.05639,0.52543,1.03007,0.00181784,0.00181784,0.00181784
48,1363.36,0.95375,0.43316,0.17201,0.64851,1.04204,0.97128,0.82473,0.90036,0.71392,0.93115,0.85763,0.93356,0.90798,0.86777,0.43486,0.05294,0.50891,0.96214,0.00181388,0.00181388,0.00181388
49,1378.47,0.94884,0.46152,0.16156,0.64024,1.04445,0.98265,0.82874,0.89358,0.68527,0.98856,0.86829,0.94126,0.90723,0.97575,0.44962,0.0546,0.52776,1.00377,0.00180992,0.00180992,0.00180992
50,1393.09,0.96078,0.45726,0.17052,0.64531,1.05081,0.95617,0.85133,0.89911,0.67309,0.98378,0.88743,0.95349,0.90451,1.02648,0.48455,0.05387,0.54776,1.01053,0.00180596,0.00180596,0.00180596
51,1407.84,0.94219,0.46157,0.16938,0.65109,1.04393,0.96509,0.86341,0.9088,0.68231,0.99046,0.8878,0.9446,0.90889,0.98271,0.41423,0.0605,0.51444,1.00063,0.001802,0.001802,0.001802
52,1422.75,0.9692,0.46523,0.17964,0.68186,1.0648,0.8848,0.86829,0.89621,0.68008,0.95174,0.9122,0.94718,0.91152,0.94634,0.45122,0.06449,0.57363,1.00258,0.00179804,0.00179804,0.00179804
