x,y,z,yaw
-27.58985710144043,-52.927547454833984,0.013951132073998451,0.002796422690153122
-32.68003845214844,-54.12105178833008,0.016341404989361763,0.002878685249015689
-3.91216778755188,-0.9519979357719421,0.17762890458106995,0.402188777923584
-3.6440021991729736,-0.8127344846725464,0.17201513051986694,1.7597023248672485
-3.6707983016967773,-0.5734659433364868,0.18952231109142303,2.897437572479248
-4.135406017303467,-0.3865368068218231,0.19286487996578217,-1.8484749794006348
-3.9638566970825195,-0.6941342353820801,0.19122213125228882,0.009545732289552689
-0.041222866624593735,0.10867834836244583,0.429942786693573,-0.6883881688117981
0.444145143032074,-0.13632571697235107,0.3145369589328766,0.9475365877151489
0.7832475900650024,0.2876662015914917,0.2625768184661865,2.2707691192626953
0.6149246096611023,0.6815942525863647,0.26421916484832764,-2.9142258167266846
0.22421422600746155,0.6753628253936768,0.21542410552501678,-1.5905312299728394
0.4540191888809204,0.4732860326766968,0.2232455164194107,0.04008703678846359
18.46462631225586,-24.090900421142578,0.012844580225646496,0.016724994406104088
18.085988998413086,-35.883949279785156,0.2344990223646164,0.1717866212129593
16.755159378051758,-37.05302047729492,0.25947895646095276,-0.5940247178077698
17.05400848388672,-36.808738708496094,0.22618670761585236,0.710766077041626
