epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7334,1.75632,6.46358,0.68034,2.28761,1.52277,0.90173,0.78861,0.82782,0.57442,0.00919,0.00781,8e-05,2e-05,1.28695,7.13009,0.64625,1.86491,1.13491,0.00054,0.00054,0.00054
2,20.6381,1.36942,3.41496,0.62315,1.07465,1.23113,0.75098,0.83594,0.75594,0.45676,0.60288,0.53906,0.46955,0.09377,1.45508,5.17627,0.58434,1.56899,1.24789,0.00109637,0.00109637,0.00109637
3,28.5521,1.38312,2.47594,0.60986,1.08306,1.24885,0.73054,0.74219,0.64248,0.3393,0.71621,0.6875,0.5807,0.21391,1.60397,4.52959,0.54566,1.32095,1.2932,0.00164904,0.00164904,0.00164904
4,34.9625,1.32139,1.91624,0.57859,1.02256,1.2178,0.62743,0.76562,0.66359,0.34067,0.77017,0.4375,0.51572,0.31447,1.79677,3.94448,0.50934,1.37865,1.43553,0.0019802,0.0019802,0.0019802
5,44.3196,1.31864,1.66218,0.55255,0.94612,1.20773,0.38062,0.60938,0.4114,0.22583,0.3855,0.61719,0.43163,0.27843,1.65384,2.09672,0.41087,2.61256,1.34084,0.0019736,0.0019736,0.0019736
6,50.674,1.29235,1.42695,0.54555,0.91064,1.20407,0.7074,0.64062,0.67435,0.3524,0.75594,0.71094,0.73858,0.52084,1.61276,1.89997,0.33411,1.52993,1.32485,0.001967,0.001967,0.001967
7,58.8986,1.23325,1.25423,0.54582,0.87886,1.18021,0.94508,0.82031,0.84782,0.63437,0.97352,0.8618,0.8931,0.79019,1.06258,1.16803,0.32652,0.82083,1.07087,0.0019604,0.0019604,0.0019604
8,65.9607,1.21833,1.18213,0.52517,0.86676,1.16383,0.90315,0.82812,0.83659,0.51731,0.89966,0.89062,0.88654,0.77233,1.40297,1.24011,0.32971,0.82484,1.23409,0.0019538,0.0019538,0.0019538
9,75.3778,1.1811,1.0686,0.51557,0.85005,1.14823,0.92906,0.82812,0.83937,0.6064,0.96499,0.85938,0.90638,0.80867,1.10335,1.01399,0.30267,0.76047,1.05505,0.0019472,0.0019472,0.0019472
10,82.8638,1.17496,0.99513,0.5006,0.8327,1.15185,0.8759,0.83594,0.82147,0.61064,0.89789,0.89062,0.88259,0.79021,0.98776,1.22427,0.28758,0.76874,1.02328,0.0019406,0.0019406,0.0019406
