timestamp,x,y,z,roll,pitch,yaw,battery
82121.0,-0.000762422860134393,0.0051842983812093735,0.002977948635816574,0.0026928025763481855,0.0014004629338160157,-0.06730671226978302,0.9
82440.0,-0.0009259533835574985,0.004880782216787338,0.0026817331090569496,0.003472378244623542,0.0016961696092039347,-0.06308626383543015,0.9
82800.0,-0.00011334908049320802,0.0059126922860741615,0.004700207617133856,0.004045422188937664,0.0034024908673018217,-0.0638587474822998,0.9
83120.0,-0.0006863632588647306,0.005743104964494705,0.0029018016066402197,0.0050106230191886425,0.003276160452514887,-0.06565342843532562,0.9
83460.0,-0.0013446744997054338,0.00439525255933404,0.004128180909901857,0.0007740769069641829,-0.005006127059459686,-0.04186052456498146,0.6
83780.0,-0.014443605206906796,0.013647662475705147,0.009319751523435116,-0.04619365930557251,-0.11045165359973907,0.15234489738941193,0.6
84120.0,-0.10427264869213104,0.05167705938220024,0.014204932376742363,-0.028468316420912743,-0.020009592175483704,0.22132505476474762,0.6
84440.0,-0.22587156295776367,0.09893155843019485,0.024269839748740196,-0.013934297487139702,-0.0045167747884988785,0.23688380420207977,0.6
84800.0,-0.37341225147247314,0.15501286089420319,0.04991129785776138,-0.005983422510325909,0.008260587230324745,0.21710996329784393,0.5
85460.0,-0.25929731130599976,0.14195966720581055,0.15430627763271332,0.028651675209403038,-0.06169653311371803,-0.23899708688259125,0.3
85780.0,-0.13162089884281158,0.06654844433069229,0.29418015480041504,-0.0038926571141928434,-0.08268910646438599,-0.2991734445095062,0.3
86140.0,-0.0586000420153141,0.029342785477638245,0.5678225159645081,0.008029264397919178,0.0003952487895730883,-0.34620949625968933,0.3
86460.0,0.004744996316730976,-0.01322026364505291,0.8606898188591003,0.01594643108546734,-0.05796452611684799,-0.5588969588279724,0.3
86860.0,0.04838820546865463,-0.05187524855136871,1.2139607667922974,0.014499799348413944,-0.05432375892996788,-0.6846761703491211,0.5
87261.0,0.04082059860229492,-0.06056855618953705,1.3803200721740723,-0.006008075084537268,-0.02251274324953556,-0.7089139819145203,0.5
87480.0,0.03482988476753235,-0.05635736882686615,1.386033296585083,-0.005658762529492378,-0.02213163673877716,-0.7043976783752441,0.5
87840.0,0.024396268650889397,-0.04240673407912254,1.331262230873108,-0.008537668734788895,-0.008499412797391415,-0.7010083198547363,0.4
88220.0,0.018889067694544792,-0.013204279355704784,1.2616872787475586,0.0148104727268219,0.001651067635975778,-0.670308530330658,0.3
88560.0,0.013572520576417446,-0.0012264847755432129,1.2185288667678833,0.009285910986363888,0.007298984564840794,-0.7075361013412476,0.3
88841.0,0.01143074780702591,-0.00371024408377707,1.2001996040344238,0.004008351359516382,-0.0024012532085180283,-0.7069026827812195,0.3
89180.0,0.015229023061692715,-0.006214245222508907,1.1812348365783691,0.003490702947601676,-0.0104465801268816,-0.733247697353363,0.3
89500.0,0.024184362962841988,-0.010931597091257572,1.1780325174331665,0.003710762597620487,-0.011695384047925472,-0.7270981669425964,0.4
89800.0,0.03387420251965523,-0.016363060101866722,1.1644750833511353,0.005646700505167246,-0.020201383158564568,-0.7245712280273438,0.3
90180.0,0.03346962481737137,-0.022529572248458862,1.1474977731704712,0.0050040436908602715,-0.01642633229494095,-0.728851854801178,0.3
90480.0,0.02555122599005699,-0.02190668135881424,1.1324974298477173,0.008712426759302616,-0.011740674264729023,-0.7211417555809021,0.3
90560.0,0.022334709763526917,-0.022418392822146416,1.1256672143936157,-0.00035953614860773087,-0.00641810754314065,-0.720173180103302,0.3
91100.0,0.022639667615294456,-0.02028297260403633,1.1212172508239746,0.002352394862100482,0.10973575711250305,-0.7132823467254639,0.3
91460.0,0.10671133548021317,-0.0911676287651062,1.1521742343902588,0.016699843108654022,0.042207084596157074,-0.7374247312545776,0.3
91820.0,0.23596015572547913,-0.2155209332704544,1.2055596113204956,0.018160434439778328,-0.013429159298539162,-0.8116288185119629,0.3
92440.0,0.4295075237751007,-0.4325626492500305,1.2324278354644775,-0.00016027862147893757,-0.001823380938731134,-0.8395328521728516,0.3
92720.0,0.5160878896713257,-0.5404573082923889,1.224168300628662,0.005078199319541454,-0.010252993553876877,-0.8551068902015686,0.3
93160.0,0.6405833959579468,-0.714653491973877,1.1999620199203491,-0.003933009225875139,0.0030467298347502947,-0.8220646977424622,0.3
93460.0,0.7362112998962402,-0.8365176320075989,1.1951431035995483,-0.007648997008800507,-0.07202359288930893,-0.7930703163146973,0.3
93800.0,0.7964381575584412,-0.9245083332061768,1.1874393224716187,-0.05336594954133034,-0.07200103253126144,-0.3244207203388214,0.3
94180.0,0.8344765901565552,-0.9514762759208679,1.1848905086517334,-0.03748190775513649,-0.0514116995036602,0.06984144449234009,0.3
94820.0,0.8294798135757446,-0.9395678043365479,1.1650272607803345,-0.01464716624468565,-0.01799946092069149,0.07916104793548584,0.3
95180.0,0.8086016774177551,-0.9241122007369995,1.1571935415267944,-0.003903642063960433,0.00187323905993253,0.07747539132833481,0.3
95500.0,0.8184247612953186,-0.9078583717346191,1.148413062095642,-0.005627769976854324,-0.01491640880703926,0.06050713360309601,0.3
95860.0,0.8122683167457581,-0.9051600694656372,1.1482772827148438,0.006929498165845871,0.0009392998181283474,0.06631464511156082,0.3
96140.0,0.8000535368919373,-0.9020361304283142,1.1444945335388184,0.006007298361510038,-0.001760572660714388,0.07616929709911346,0.3
96523.0,0.8110561370849609,-0.9103823900222778,1.1446791887283325,-0.014042788185179234,-0.020465021952986717,0.06612660735845566,0.3
96821.0,0.8055382966995239,-0.9036312103271484,1.1408367156982422,-0.0037481426261365414,-0.00025607034331187606,0.04856889322400093,0.3
97200.0,0.8041423559188843,-0.8997378349304199,1.1396169662475586,0.005141834728419781,0.003679894842207432,0.050413280725479126,0.3
97500.0,0.8043332695960999,-0.8922893404960632,1.1384265422821045,0.006432743743062019,-0.00199545593932271,0.04501502588391304,0.3
