epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6494,1.68869,7.12838,0.69432,2.07756,1.43151,0.6852,0.78659,0.78398,0.47199,0,0,0,0,1.16975,7.54913,0.6642,2.31805,1.04041,0.00038,0.00038,0.00038
2,44.926,1.25831,4.28267,0.6425,0.96415,1.14916,0.74669,0.80885,0.76444,0.51744,0.2598,0.26966,0.09744,0.01741,1.1762,5.90687,0.60285,1.43669,1.0259,0.000772278,0.000772278,0.000772278
3,63.9629,1.20826,2.78386,0.60988,0.88677,1.12116,0.84762,0.78049,0.85829,0.54766,0.80049,0.73171,0.79877,0.39533,1.26193,3.60182,0.52271,1.7883,1.16786,0.00115664,0.00115664,0.00115664
4,88.2614,1.22559,2.32533,0.61385,0.93012,1.13916,0.82984,0.84756,0.85555,0.47881,0.82832,0.82927,0.81597,0.57546,1.48813,2.27621,0.46526,1.35872,1.30872,0.00153307,0.00153307,0.00153307
5,110.035,1.2028,1.88906,0.58362,0.90585,1.13348,0.89686,0.86585,0.88306,0.6185,0.83272,0.84994,0.84549,0.51699,1.1274,1.99133,0.42001,1.12873,1.12749,0.00190159,0.00190159,0.00190159
6,128.889,1.17706,1.68611,0.58904,0.855,1.12239,0.88024,0.8515,0.87327,0.59613,0.89536,0.84146,0.88104,0.64454,1.1604,1.66351,0.39506,1.16773,1.0973,0.001901,0.001901,0.001901
7,147.671,1.11678,1.55231,0.5673,0.83842,1.08666,0.88851,0.87474,0.86945,0.58505,0.88232,0.86865,0.87793,0.64653,1.20731,1.47532,0.3679,1.14667,1.08883,0.0018812,0.0018812,0.0018812
8,165.566,1.12389,1.36387,0.5584,0.82854,1.08861,0.90356,0.86585,0.88314,0.55213,0.90356,0.86585,0.90406,0.71002,1.28314,1.29945,0.36261,0.79598,1.10404,0.0018614,0.0018614,0.0018614
9,181.326,1.14711,1.24289,0.54519,0.79473,1.08995,0.90307,0.88415,0.87718,0.59826,0.92193,0.90244,0.91218,0.73323,1.13232,1.11035,0.34779,0.88595,1.05409,0.0018416,0.0018416,0.0018416
10,197.826,1.13905,1.17965,0.55035,0.80353,1.09762,0.88705,0.90244,0.89408,0.63854,0.92417,0.90854,0.92935,0.82493,1.09369,0.96862,0.35002,0.70269,1.00955,0.0018218,0.0018218,0.0018218
11,214.071,1.09973,1.14456,0.54408,0.76341,1.09792,0.94715,0.87195,0.90343,0.60481,0.95721,0.90854,0.93231,0.78359,1.19033,1.00564,0.33363,0.72763,1.06294,0.001802,0.001802,0.001802
12,232.002,1.05958,0.99546,0.52415,0.74423,1.0809,0.95863,0.84787,0.90481,0.57831,0.97242,0.8598,0.93435,0.85117,1.41058,0.83909,0.32651,0.74017,1.14121,0.0017822,0.0017822,0.0017822
13,246.839,1.09632,1.02185,0.52317,0.75513,1.07853,0.9526,0.8579,0.89144,0.49577,0.95938,0.864,0.9265,0.81586,1.56318,0.9033,0.31788,0.7978,1.22757,0.0017624,0.0017624,0.0017624
14,262.198,1.09397,1.05456,0.52954,0.77263,1.09365,0.88355,0.87902,0.88901,0.58052,0.93184,0.91694,0.94379,0.83565,1.31862,0.86403,0.29689,0.76431,1.10607,0.0017426,0.0017426,0.0017426
15,276.84,1.05184,0.95003,0.50351,0.74387,1.0635,0.94299,0.85976,0.90167,0.62512,0.96305,0.87805,0.95053,0.86684,1.13999,0.81202,0.31585,0.66171,1.042,0.0017228,0.0017228,0.0017228
16,292.131,1.03115,0.90645,0.48293,0.73265,1.06499,0.90346,0.89634,0.91348,0.60791,0.93352,0.92683,0.95634,0.88175,1.14798,0.77235,0.29699,0.66011,1.03732,0.001703,0.001703,0.001703
17,307.467,1.01409,0.84481,0.4968,0.72582,1.05359,0.92905,0.87826,0.9094,0.58853,0.94651,0.92073,0.95669,0.86793,1.25847,0.72153,0.28918,0.681,1.06032,0.0016832,0.0016832,0.0016832
18,324.63,1.00536,0.83513,0.46935,0.6963,1.04281,0.93884,0.85976,0.91063,0.62188,0.93333,0.93902,0.95174,0.89173,1.21467,0.75256,0.28441,0.62815,1.0598,0.0016634,0.0016634,0.0016634
19,339.363,1.00148,0.84014,0.47735,0.70226,1.06398,0.93034,0.87195,0.90653,0.60489,0.94625,0.89634,0.95102,0.89319,1.21185,0.71972,0.27429,0.65037,1.06237,0.0016436,0.0016436,0.0016436
20,359.046,0.98563,0.79889,0.45722,0.67339,1.04826,0.94762,0.88255,0.90931,0.56918,0.94308,0.9092,0.9613,0.83797,1.24904,0.70797,0.28143,0.66172,1.06527,0.0016238,0.0016238,0.0016238
21,377.432,0.96827,0.77955,0.44723,0.67551,1.0386,0.9859,0.85272,0.91225,0.61969,0.96795,0.92075,0.96351,0.87192,1.21331,0.70176,0.25537,0.72795,1.06897,0.001604,0.001604,0.001604
22,395.332,0.96483,0.77276,0.452,0.66608,1.0355,0.93158,0.87805,0.90861,0.5803,0.96779,0.91605,0.95173,0.88524,1.29033,0.67983,0.25979,0.67205,1.07876,0.0015842,0.0015842,0.0015842
23,414.666,0.985,0.74536,0.44609,0.68092,1.03292,0.94187,0.86585,0.90734,0.62084,0.96704,0.89464,0.94989,0.88857,1.14953,0.74141,0.267,0.67523,1.02296,0.0015644,0.0015644,0.0015644
24,430.371,0.94443,0.67417,0.43167,0.64871,1.01271,0.94876,0.85976,0.90807,0.66448,0.98624,0.90854,0.9562,0.89754,1.02723,0.61992,0.24737,0.67169,1.00449,0.0015446,0.0015446,0.0015446
25,449.078,0.97014,0.72053,0.41791,0.65261,1.04452,0.97014,0.86585,0.90468,0.59757,0.97361,0.89976,0.95323,0.87907,1.27133,0.72967,0.23803,0.68464,1.07107,0.0015248,0.0015248,0.0015248
26,464.138,0.97861,0.69147,0.42124,0.64424,1.03307,0.97227,0.85518,0.90772,0.63954,0.94953,0.91768,0.95356,0.87573,1.09964,0.67906,0.23467,0.63103,1.01219,0.001505,0.001505,0.001505
27,483.343,0.98075,0.74709,0.41132,0.66409,1.03243,0.95684,0.87805,0.91244,0.65547,0.98349,0.90854,0.96165,0.87065,1.0383,0.6925,0.21813,0.61805,0.99415,0.0014852,0.0014852,0.0014852
28,499.913,0.94025,0.6613,0.39834,0.63622,1.01401,0.9718,0.84061,0.9082,0.62379,0.95695,0.90854,0.95666,0.89702,1.18228,0.58457,0.22687,0.62285,1.03407,0.0014654,0.0014654,0.0014654
29,517.086,0.93343,0.63238,0.38608,0.63684,1.02027,0.95671,0.87805,0.9061,0.61069,0.95497,0.94512,0.96521,0.87631,1.24621,0.65656,0.21816,0.64248,1.05022,0.0014456,0.0014456,0.0014456
30,534.467,0.94259,0.63253,0.37887,0.63832,1.01851,0.98696,0.85366,0.91341,0.64079,0.96942,0.90244,0.96434,0.91205,1.12896,0.59192,0.22174,0.59005,1.006,0.0014258,0.0014258,0.0014258
31,548.91,0.89802,0.60482,0.38447,0.59732,1.01935,0.98445,0.83537,0.91771,0.66333,0.9539,0.88319,0.95295,0.90792,1.03684,0.60922,0.22025,0.56855,0.98494,0.001406,0.001406,0.001406
32,563.448,0.91586,0.65143,0.38393,0.60153,1.02796,0.97076,0.83537,0.90038,0.63647,0.97418,0.92013,0.96081,0.90823,1.12543,0.57083,0.21113,0.59012,1.01198,0.0013862,0.0013862,0.0013862
33,579.664,0.95788,0.60821,0.36383,0.62316,1.03558,0.95117,0.89024,0.9101,0.6725,0.95625,0.93294,0.96198,0.91419,1.05282,0.57253,0.20357,0.57244,0.98624,0.0013664,0.0013664,0.0013664
34,595.805,0.9422,0.65229,0.3653,0.63018,1.02158,0.97858,0.87805,0.92172,0.6932,0.94404,0.92576,0.95637,0.91048,0.93562,0.59802,0.21103,0.54569,0.95327,0.0013466,0.0013466,0.0013466
35,611.81,0.9234,0.60004,0.36404,0.61391,1.00798,0.948,0.88929,0.92021,0.64324,0.96773,0.92683,0.96571,0.91423,1.07766,0.51979,0.19336,0.57289,0.99838,0.0013268,0.0013268,0.0013268
