epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1822,2.02183,7.17235,0.69432,2.987,1.70713,0.77082,0.70732,0.75487,0.49528,0,0,0,0,1.19036,7.60874,0.67058,1.71316,1.04106,0.00038,0.00038,0.00038
2,14.8835,1.33945,4.58765,0.63648,1.11992,1.21884,0.71509,0.78051,0.79688,0.4471,0.03911,0.04268,0.00286,0.00039,1.55395,6.27043,0.6041,3.01028,1.23031,0.000776139,0.000776139,0.000776139
3,18.93,1.34247,3.0578,0.62163,1.01825,1.22545,0.66407,0.7622,0.61162,0.34949,0.59166,0.66463,0.46366,0.12242,1.40729,4.85164,0.56103,1.95599,1.15706,0.00116832,0.00116832,0.00116832
4,23.7026,1.33198,2.43416,0.59764,1.03286,1.20524,0.93182,0.80488,0.86617,0.45083,0.93888,0.81098,0.85779,0.54936,1.60043,2.92161,0.4966,1.37942,1.31027,0.00155654,0.00155654,0.00155654
5,28.7724,1.30575,2.00845,0.58202,0.9598,1.1887,0.79084,0.73171,0.78491,0.44076,0.79805,0.7378,0.78863,0.51221,1.57864,2.41937,0.44699,1.0846,1.28459,0.0019408,0.0019408,0.0019408
6,32.6069,1.32676,1.78817,0.58038,0.9661,1.21701,0.80111,0.7378,0.78809,0.39882,0.82085,0.75436,0.82008,0.5695,1.71656,2.06026,0.40831,1.12673,1.30141,0.0019505,0.0019505,0.0019505
7,37.2673,1.21047,1.52355,0.55594,0.88965,1.1586,0.88584,0.80433,0.84653,0.50117,0.91232,0.82484,0.87742,0.69185,1.50064,1.6551,0.37494,0.96517,1.24594,0.0019406,0.0019406,0.0019406
8,43.1183,1.20413,1.41282,0.55364,0.8915,1.16086,0.80565,0.76829,0.81574,0.43517,0.8247,0.77439,0.84031,0.64213,1.59779,1.87219,0.37091,0.95307,1.23667,0.0019307,0.0019307,0.0019307
9,47.3746,1.17707,1.28708,0.53273,0.85328,1.14792,0.88266,0.87149,0.87625,0.53853,0.90116,0.8895,0.90295,0.73682,1.34788,1.35495,0.3133,0.78348,1.16422,0.0019208,0.0019208,0.0019208
10,51.5332,1.20392,1.28493,0.52244,0.86776,1.15997,0.85264,0.84678,0.86567,0.58499,0.84909,0.87195,0.87924,0.72178,1.13914,1.35601,0.29824,0.74437,1.06409,0.0019109,0.0019109,0.0019109
11,57.4482,1.1814,1.17357,0.52961,0.85675,1.14462,0.89552,0.87195,0.87202,0.55821,0.91029,0.90244,0.91447,0.75753,1.34977,1.04085,0.28145,0.81632,1.12498,0.001901,0.001901,0.001901
