epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,1081.37,0.82793,0.32962,0.10407,0.54739,0.99797,0.93037,0.86829,0.91223,0.75004,0.98419,0.92683,0.95175,0.92484,0.77096,0.35003,0.04664,0.44937,0.93163,0.0017426,0.0017426,0.0017426
28,1095.61,0.82138,0.33403,0.10043,0.56379,0.99188,0.96184,0.86067,0.91418,0.76399,0.98649,0.90732,0.95043,0.91862,0.70438,0.38303,0.04917,0.43687,0.92398,0.0017327,0.0017327,0.0017327
29,1109.84,0.79015,0.3327,0.10079,0.54438,0.98173,0.98788,0.84878,0.91256,0.74776,0.95975,0.93049,0.95998,0.92252,0.78992,0.35762,0.05146,0.45175,0.9535,0.0017228,0.0017228,0.0017228
30,1124.02,0.82183,0.31573,0.1025,0.56721,0.99134,0.95135,0.86341,0.90677,0.75486,0.99471,0.91662,0.95249,0.91541,0.72956,0.42303,0.0476,0.45701,0.93706,0.0017129,0.0017129,0.0017129
31,1138.49,0.79966,0.30034,0.09382,0.55052,0.98818,0.95593,0.84652,0.91739,0.7508,0.97556,0.91707,0.94998,0.92322,0.77753,0.35869,0.05082,0.44632,0.93811,0.001703,0.001703,0.001703
32,1152.78,0.80114,0.30877,0.09459,0.54877,0.97128,0.95058,0.85854,0.91141,0.75325,0.99493,0.90732,0.95697,0.9239,0.76112,0.37753,0.05695,0.44677,0.93961,0.0016931,0.0016931,0.0016931
33,1166.8,0.85109,0.35334,0.10731,0.55878,1.00282,0.9719,0.84371,0.91724,0.75633,0.98296,0.92683,0.95966,0.91844,0.7245,0.37084,0.0682,0.43184,0.92959,0.0016832,0.0016832,0.0016832
34,1180.95,0.8233,0.34171,0.09349,0.54515,0.98617,0.95061,0.8439,0.90788,0.74095,0.97927,0.90732,0.95049,0.92598,0.77484,0.31927,0.05645,0.44678,0.93211,0.0016733,0.0016733,0.0016733
35,1194.79,0.80194,0.31315,0.09952,0.54592,0.97809,0.97648,0.82439,0.90442,0.75123,0.96604,0.90732,0.95451,0.91865,0.74637,0.38069,0.04006,0.45846,0.94084,0.0016634,0.0016634,0.0016634
36,1208.14,0.81148,0.34408,0.09393,0.56486,0.9835,0.94975,0.82983,0.89451,0.74748,0.97892,0.90244,0.95033,0.91931,0.76004,0.36158,0.06755,0.47433,0.9337,0.0016535,0.0016535,0.0016535
37,1221.72,0.779,0.32349,0.09682,0.53935,0.97983,0.96172,0.85796,0.91406,0.76204,0.97408,0.91651,0.95124,0.92198,0.73946,0.34367,0.06383,0.45222,0.92483,0.0016436,0.0016436,0.0016436
38,1235.73,0.81188,0.30113,0.09627,0.55624,0.98693,0.97769,0.85512,0.92243,0.77094,0.98388,0.89332,0.95779,0.92451,0.69638,0.32781,0.049,0.44408,0.90358,0.0016337,0.0016337,0.0016337
39,1250.55,0.81616,0.29623,0.09648,0.56798,0.98667,0.95666,0.86138,0.90511,0.74481,0.96426,0.92115,0.95066,0.93401,0.74984,0.30132,0.04794,0.45637,0.91193,0.0016238,0.0016238,0.0016238
40,1264.6,0.82834,0.28639,0.09316,0.55244,0.98919,0.97185,0.84195,0.91285,0.76288,0.9639,0.91185,0.94979,0.92062,0.7074,0.33576,0.05991,0.42389,0.90974,0.0016139,0.0016139,0.0016139
41,1278.78,0.80408,0.30424,0.09526,0.55282,0.9823,0.97234,0.85739,0.91604,0.75908,0.98604,0.92195,0.95957,0.92777,0.73574,0.34285,0.04737,0.42749,0.91042,0.001604,0.001604,0.001604
