epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,158.667,1.05549,1.48322,0.57461,0.72614,1.06494,0.83506,0.78571,0.81775,0.42765,0.87301,0.82143,0.86433,0.55091,1.7676,2.0049,0.44494,1.31342,1.47131,0.0014654,0.0014654,0.0014654
29,162.51,1.19016,1.54592,0.55728,0.74733,1.06238,0.84867,0.78571,0.82933,0.45953,0.89142,0.82143,0.86783,0.58541,1.59691,1.90358,0.4381,1.2619,1.38603,0.0014456,0.0014456,0.0014456
30,166.352,1.13793,1.57979,0.54777,0.80847,1.07195,0.75806,0.82143,0.81176,0.46327,0.79127,0.85714,0.85536,0.60642,1.48965,1.70372,0.42864,1.20922,1.30797,0.0014258,0.0014258,0.0014258
31,170.438,1.0864,1.49394,0.56031,0.74622,1.06967,0.78639,0.82143,0.82377,0.4543,0.82078,0.85714,0.87798,0.63259,1.56887,1.67619,0.42589,1.05976,1.3319,0.001406,0.001406,0.001406
32,174.927,1.13794,1.2616,0.53206,0.71275,1.06163,0.83604,0.82143,0.84475,0.50673,0.90914,0.89286,0.95436,0.70053,1.50078,1.65409,0.42015,0.86813,1.26358,0.0013862,0.0013862,0.0013862
33,180.16,1.11674,1.35151,0.56875,0.68772,1.06122,0.88319,0.81038,0.85044,0.54973,0.92204,0.84516,0.91176,0.70287,1.38435,1.68587,0.41849,0.79854,1.18827,0.0013664,0.0013664,0.0013664
34,185.229,1.05806,1.27386,0.537,0.66123,1.06642,0.85702,0.85631,0.83885,0.55563,0.89271,0.89151,0.89706,0.65909,1.39688,1.71691,0.41744,0.80287,1.20855,0.0013466,0.0013466,0.0013466
35,189.448,1.05259,1.17063,0.53854,0.65041,1.03293,0.85246,0.85714,0.85308,0.49585,0.88812,0.89286,0.90931,0.66197,1.54608,1.64067,0.40934,0.82702,1.28424,0.0013268,0.0013268,0.0013268
36,192.98,1.1322,1.31646,0.55274,0.69414,1.04638,0.8295,0.89286,0.85952,0.49463,0.86286,0.92857,0.91807,0.68036,1.45767,1.52953,0.3983,0.85707,1.24274,0.001307,0.001307,0.001307
37,197.28,1.07563,1.23903,0.52778,0.66951,1.03127,0.83269,0.88884,0.85166,0.51626,0.86611,0.92428,0.90763,0.68482,1.34227,1.51005,0.3934,0.86163,1.18907,0.0012872,0.0012872,0.0012872
