epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,285.737,1.07243,0.60345,0.29488,0.74463,1.10511,0.98736,0.82031,0.90055,0.65212,0.98234,0.86927,0.94784,0.91828,1.04505,0.60439,0.09114,0.62219,1.04331,0.0018284,0.0018284,0.0018284
28,296.786,1.02313,0.63034,0.2863,0.6996,1.07573,0.97913,0.85156,0.90595,0.67979,0.97419,0.88457,0.95145,0.9263,0.92978,0.55325,0.08133,0.5336,0.97905,0.0018218,0.0018218,0.0018218
29,306.259,1.02679,0.59594,0.27962,0.7162,1.08862,0.9649,0.85912,0.89121,0.68057,0.99122,0.88237,0.94223,0.89907,0.95488,0.68615,0.08785,0.61141,0.99315,0.0018152,0.0018152,0.0018152
30,316.77,1.01567,0.57784,0.2588,0.71023,1.07545,0.99888,0.83594,0.88982,0.67051,0.98114,0.88281,0.94584,0.90226,0.92677,0.63733,0.08649,0.5196,0.98807,0.0018086,0.0018086,0.0018086
31,328.077,1.03016,0.57783,0.26028,0.70454,1.09253,0.97361,0.8647,0.88753,0.65563,1,0.88814,0.95519,0.91648,1.03347,0.56553,0.07485,0.52297,1.01221,0.001802,0.001802,0.001802
32,336.432,1.00645,0.5733,0.25652,0.68092,1.07247,0.96445,0.85938,0.89923,0.67143,0.99962,0.89062,0.95754,0.92312,0.97457,0.5347,0.08102,0.52904,1.00925,0.0017954,0.0017954,0.0017954
33,348.788,1.01414,0.51398,0.24432,0.67081,1.08077,0.99809,0.85156,0.9,0.65212,0.9741,0.90625,0.9591,0.93708,1.07482,0.46753,0.08358,0.5662,1.03906,0.0017888,0.0017888,0.0017888
34,359.408,1.03389,0.58299,0.25037,0.68972,1.07564,0.97272,0.84375,0.89456,0.66333,0.98146,0.875,0.95036,0.91186,0.89388,0.66737,0.07361,0.52834,0.98181,0.0017822,0.0017822,0.0017822
35,367.614,0.99767,0.56345,0.24142,0.6733,1.05454,0.9784,0.85938,0.88577,0.63357,0.98824,0.875,0.93886,0.90605,1.10919,0.61769,0.08288,0.56658,1.02585,0.0017756,0.0017756,0.0017756
36,378.944,0.99586,0.58301,0.24377,0.68746,1.068,0.97405,0.84375,0.87776,0.67531,0.98243,0.87363,0.94237,0.91398,0.95567,0.59183,0.0799,0.53016,0.98785,0.001769,0.001769,0.001769
37,389.259,1.01295,0.56764,0.23042,0.69416,1.0718,0.97353,0.862,0.89323,0.6895,0.95158,0.92121,0.95123,0.91793,0.94842,0.48341,0.0739,0.60232,0.96932,0.0017624,0.0017624,0.0017624
38,399.876,1.05026,0.55296,0.22654,0.70317,1.09491,0.9707,0.86719,0.90941,0.71073,1,0.90597,0.95897,0.92897,0.82287,0.50238,0.06596,0.51138,0.95313,0.0017558,0.0017558,0.0017558
39,409.84,1.03643,0.54009,0.22879,0.72714,1.1277,0.98285,0.82812,0.88743,0.64153,0.97465,0.90117,0.95266,0.90312,1.11103,0.69853,0.06844,0.56913,1.02204,0.0017492,0.0017492,0.0017492
40,420.299,1.00814,0.56175,0.21958,0.68569,1.07084,0.98198,0.85145,0.87693,0.65466,0.9874,0.91406,0.95552,0.92298,1.02009,0.51327,0.06714,0.53446,1.0019,0.0017426,0.0017426,0.0017426
41,428.842,1.00362,0.55606,0.22787,0.67883,1.07008,0.97365,0.86608,0.8886,0.71189,0.95779,0.92188,0.95881,0.92306,0.84227,0.50967,0.0588,0.47977,0.94685,0.001736,0.001736,0.001736
42,441.039,0.98911,0.51501,0.21182,0.66831,1.06983,0.99098,0.85828,0.89173,0.66482,0.99147,0.90789,0.96185,0.93925,0.98074,0.46877,0.06748,0.51781,0.99165,0.0017294,0.0017294,0.0017294
43,451.517,1.00683,0.52562,0.22055,0.68603,1.07324,0.98783,0.83594,0.88592,0.656,0.9703,0.89062,0.95043,0.91568,0.92053,0.55821,0.05975,0.52149,0.97407,0.0017228,0.0017228,0.0017228
44,460.152,0.98766,0.51576,0.20444,0.68143,1.05496,0.96682,0.85156,0.89155,0.65921,0.97344,0.89062,0.95257,0.93223,0.98089,0.47488,0.05399,0.57008,0.99832,0.0017162,0.0017162,0.0017162
45,471.05,0.98589,0.48294,0.20284,0.65517,1.07318,0.97353,0.86201,0.89338,0.68998,0.9912,0.87972,0.95566,0.9312,0.85449,0.59572,0.05597,0.48139,0.96767,0.0017096,0.0017096,0.0017096
46,481.415,0.99148,0.49539,0.19316,0.67122,1.06384,0.99086,0.84685,0.88167,0.6671,0.9806,0.89844,0.95792,0.92108,0.97621,0.51314,0.05713,0.50193,0.98691,0.001703,0.001703,0.001703
47,490.424,0.99487,0.50997,0.20237,0.66043,1.06319,0.9649,0.85894,0.88422,0.68561,0.97123,0.88281,0.94424,0.91918,0.86326,0.49095,0.06025,0.50755,0.96152,0.0016964,0.0016964,0.0016964
48,501.499,0.99685,0.54195,0.19775,0.671,1.07225,0.96663,0.85938,0.88751,0.66685,0.98507,0.9375,0.96326,0.93964,0.95411,0.4579,0.05348,0.50191,0.98274,0.0016898,0.0016898,0.0016898
49,512.07,0.98916,0.50388,0.19388,0.66833,1.06263,0.99635,0.83594,0.90099,0.71969,0.9487,0.90625,0.95712,0.93371,0.83776,0.46195,0.04904,0.47795,0.95087,0.0016832,0.0016832,0.0016832
50,523.202,0.94894,0.44662,0.1857,0.62887,1.04271,0.9767,0.86719,0.89509,0.6652,0.99147,0.90805,0.95899,0.93658,1.0243,0.46626,0.05313,0.50771,0.98603,0.0016766,0.0016766,0.0016766
51,532.595,0.99397,0.51847,0.19216,0.65066,1.06627,0.99893,0.83594,0.90441,0.68854,0.96573,0.88072,0.95523,0.93384,0.86531,0.43677,0.0511,0.48503,0.95822,0.00167,0.00167,0.00167
52,543.323,0.98105,0.45342,0.17883,0.63924,1.06239,0.95675,0.8641,0.89714,0.68332,0.98317,0.91265,0.96097,0.94096,0.95716,0.39004,0.05171,0.49101,0.98789,0.0016634,0.0016634,0.0016634
53,552.908,0.97741,0.43982,0.18738,0.63366,1.06431,0.98428,0.85156,0.89557,0.69722,0.98261,0.88289,0.95577,0.93923,0.92075,0.42777,0.05046,0.45265,0.95556,0.0016568,0.0016568,0.0016568
54,563.046,0.95939,0.45526,0.17772,0.64089,1.05928,0.97357,0.8633,0.89111,0.67686,0.98332,0.92138,0.96185,0.93878,0.91937,0.45845,0.04421,0.4901,0.95555,0.0016502,0.0016502,0.0016502
55,575.812,0.95689,0.43796,0.17401,0.61932,1.04691,1,0.84261,0.89497,0.69527,0.96791,0.94257,0.9611,0.932,0.87436,0.46616,0.05052,0.47828,0.96521,0.0016436,0.0016436,0.0016436
56,587.328,0.96588,0.46349,0.17737,0.64692,1.06254,0.98623,0.83594,0.88964,0.69003,0.94324,0.90885,0.95175,0.92486,0.8839,0.52739,0.05138,0.50685,0.95534,0.001637,0.001637,0.001637
57,596.179,0.96115,0.47112,0.18034,0.64517,1.06135,0.97355,0.86284,0.8896,0.70929,0.98284,0.89484,0.95613,0.9382,0.84675,0.40664,0.04866,0.49655,0.93661,0.0016304,0.0016304,0.0016304
58,607.411,0.96423,0.45533,0.16976,0.63669,1.06394,0.94878,0.86837,0.89236,0.69166,0.98879,0.92188,0.96183,0.9411,0.88481,0.42443,0.04429,0.47317,0.95853,0.0016238,0.0016238,0.0016238
59,618.091,0.97247,0.41656,0.16225,0.63252,1.05713,0.97831,0.84375,0.8871,0.64556,0.9668,0.91002,0.95793,0.92776,0.97933,0.4655,0.04357,0.5084,0.97551,0.0016172,0.0016172,0.0016172
60,627.135,0.96127,0.46871,0.1693,0.66,1.05193,0.98219,0.86168,0.90906,0.74237,0.96722,0.92222,0.96357,0.93963,0.73558,0.44225,0.05843,0.46451,0.92323,0.0016106,0.0016106,0.0016106
61,637.362,0.95552,0.46454,0.16581,0.63661,1.05152,0.97968,0.83594,0.89731,0.66792,0.95108,0.91127,0.95201,0.91964,0.95288,0.54036,0.04366,0.50828,0.97236,0.001604,0.001604,0.001604
62,648.323,0.99239,0.46482,0.17564,0.68654,1.05573,0.96681,0.85938,0.90272,0.7277,0.99804,0.89062,0.95766,0.93449,0.78379,0.47054,0.04976,0.45693,0.92341,0.0015974,0.0015974,0.0015974
63,657.547,0.93559,0.42808,0.1708,0.63337,1.04124,0.98957,0.85938,0.90505,0.69228,0.97519,0.92107,0.95852,0.93938,0.88423,0.44183,0.04347,0.47273,0.94878,0.0015908,0.0015908,0.0015908
