epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7761,1.72738,6.64893,0.69033,2.10873,1.48731,0.85902,0.78049,0.81943,0.47614,0.00452,0.0061,2e-05,0,1.28455,7.49692,0.66487,1.73716,1.09194,0.00038,0.00038,0.00038
2,40.5528,1.32458,4.02918,0.63992,1.03684,1.21211,0.67755,0.79878,0.7694,0.42273,0.03814,0.04268,0.00308,0.00044,1.50766,6.1882,0.61369,2.87588,1.22833,0.000778456,0.000778456,0.000778456
3,61.8341,1.33957,2.79741,0.62717,1.0428,1.22275,0.71522,0.7622,0.81688,0.46003,0.662,0.70122,0.67801,0.24774,1.4787,4.27223,0.55799,2.95581,1.2078,0.00117533,0.00117533,0.00117533
4,85.6539,1.32414,2.23759,0.62078,0.99556,1.21453,0.707,0.7561,0.7719,0.44918,0.71282,0.7622,0.76903,0.42302,1.4728,3.06267,0.51668,1.17574,1.24315,0.00157061,0.00157061,0.00157061
5,111.775,1.28146,1.90717,0.60668,0.9698,1.20509,0.872,0.84146,0.85394,0.44819,0.88126,0.85366,0.87201,0.66955,1.59712,2.16711,0.47171,0.94844,1.32228,0.00196432,0.00196432,0.00196432
6,134.952,1.29307,1.79978,0.57682,0.94423,1.18457,0.84884,0.85604,0.86358,0.5459,0.86093,0.86823,0.88885,0.66383,1.38394,1.85391,0.42147,0.82135,1.18285,0.0019802,0.0019802,0.0019802
7,155.249,1.30071,1.53114,0.58021,0.9096,1.19956,0.93888,0.85366,0.8925,0.53618,0.95924,0.87195,0.92029,0.74379,1.47208,1.54534,0.37933,0.81925,1.22382,0.00197624,0.00197624,0.00197624
8,173.793,1.23844,1.44957,0.57843,0.90426,1.17989,0.90417,0.85366,0.87784,0.49509,0.90636,0.88528,0.90648,0.6816,1.61745,1.4897,0.35422,1.04154,1.2627,0.00197228,0.00197228,0.00197228
9,191.386,1.22084,1.27856,0.55625,0.86953,1.18254,0.93999,0.83537,0.88324,0.49262,0.95371,0.84756,0.90948,0.69308,1.42259,1.49534,0.35121,0.85111,1.14091,0.00196832,0.00196832,0.00196832
10,209.226,1.20398,1.18483,0.53813,0.84264,1.16393,0.91424,0.84502,0.88936,0.51526,0.91424,0.84502,0.90994,0.76825,1.36457,1.2467,0.33207,0.91888,1.15042,0.00196436,0.00196436,0.00196436
11,230.862,1.15974,1.14221,0.53937,0.85065,1.16107,0.92275,0.86585,0.89645,0.61453,0.9293,0.90244,0.93397,0.79084,1.21651,1.17347,0.30581,0.85902,1.0671,0.0019604,0.0019604,0.0019604
12,246.972,1.20317,1.1643,0.5252,0.84598,1.16665,0.93499,0.85976,0.89652,0.5714,0.9609,0.86585,0.92387,0.7524,1.31052,1.10879,0.29428,0.77522,1.09753,0.00195644,0.00195644,0.00195644
13,266.24,1.16396,1.07443,0.52587,0.82614,1.1611,0.92813,0.86618,0.88749,0.61568,0.96726,0.90084,0.94644,0.81689,1.19291,0.95308,0.29307,0.79848,1.07259,0.00195248,0.00195248,0.00195248
14,286.256,1.16109,1.01607,0.51895,0.80088,1.16335,0.92581,0.83695,0.89987,0.6565,0.93403,0.89024,0.94473,0.84034,1.02189,0.9094,0.31084,0.6888,0.98865,0.00194852,0.00194852,0.00194852
15,300.111,1.11723,0.94936,0.50716,0.79011,1.11036,0.97174,0.83859,0.89608,0.6031,0.97979,0.88696,0.94979,0.81983,1.16612,0.92924,0.30104,0.719,1.0348,0.00194456,0.00194456,0.00194456
16,316.349,1.11521,0.83029,0.49647,0.77062,1.12648,0.8965,0.87195,0.88594,0.59972,0.92206,0.89634,0.92105,0.83837,1.17905,0.93253,0.30093,0.73193,1.03181,0.0019406,0.0019406,0.0019406
17,333.2,1.10585,0.94154,0.48556,0.74921,1.11725,0.92045,0.86585,0.88988,0.54325,0.96357,0.90854,0.94004,0.81298,1.39755,0.97557,0.29511,0.76274,1.12544,0.00193664,0.00193664,0.00193664
18,350.565,1.09972,0.8278,0.48536,0.74775,1.13374,0.89552,0.83622,0.87382,0.52702,0.94235,0.89705,0.94041,0.86169,1.50542,0.81266,0.27588,0.78305,1.17042,0.00193268,0.00193268,0.00193268
19,366.758,1.09752,0.82971,0.46751,0.74713,1.11197,0.9401,0.86132,0.89415,0.55297,0.96672,0.8856,0.95317,0.86996,1.37053,0.80514,0.27051,0.667,1.13221,0.00192872,0.00192872,0.00192872
20,383.518,1.09352,0.85658,0.46252,0.77054,1.12791,0.93806,0.87195,0.89191,0.59488,0.94262,0.92073,0.94372,0.84555,1.24256,0.94724,0.2657,0.70736,1.08687,0.00192476,0.00192476,0.00192476
21,401.024,1.12753,0.86148,0.4557,0.78057,1.13775,0.96259,0.84756,0.91114,0.6215,0.95479,0.90149,0.95045,0.85756,1.16557,0.76155,0.26368,0.6811,1.04991,0.0019208,0.0019208,0.0019208
22,417.04,1.09214,0.84934,0.4475,0.7582,1.11111,0.96454,0.82937,0.90062,0.67976,0.93653,0.89967,0.94701,0.87324,0.97252,0.93931,0.26829,0.63322,0.9792,0.00191684,0.00191684,0.00191684
23,435.722,1.08415,0.8825,0.45164,0.74853,1.10854,0.93356,0.85684,0.9027,0.65966,0.94472,0.87195,0.94625,0.86094,0.99146,0.81995,0.23736,0.63138,0.98154,0.00191288,0.00191288,0.00191288
24,451.506,1.0514,0.84924,0.4512,0.72393,1.10047,0.98322,0.85366,0.90932,0.64503,0.98647,0.8893,0.95395,0.89077,1.04763,0.76618,0.24105,0.60272,0.99754,0.00190892,0.00190892,0.00190892
25,470.423,1.04486,0.8249,0.42352,0.74316,1.09417,0.9762,0.85976,0.90652,0.63762,0.9799,0.89189,0.95241,0.88975,1.05546,0.7847,0.22838,0.61489,0.98558,0.00190496,0.00190496,0.00190496
26,489.497,1.10353,0.77439,0.42253,0.74151,1.12413,0.9584,0.85366,0.90059,0.5913,0.92556,0.89634,0.94647,0.88531,1.25886,0.7573,0.22716,0.69342,1.08977,0.001901,0.001901,0.001901
27,509.775,1.1018,0.7365,0.41278,0.77065,1.14214,0.94065,0.86978,0.90644,0.67688,0.94135,0.91463,0.96157,0.87161,1.03698,0.72737,0.21344,0.67472,0.99087,0.00189704,0.00189704,0.00189704
28,526.419,1.04413,0.69973,0.39307,0.70947,1.10756,0.95877,0.85081,0.90307,0.62733,0.95886,0.93902,0.96464,0.89381,1.20227,0.72823,0.19914,0.65168,1.04679,0.00189308,0.00189308,0.00189308
29,545.177,1.06464,0.74002,0.39443,0.70049,1.09635,0.91515,0.855,0.89587,0.62758,0.94079,0.92683,0.96012,0.88913,1.08876,0.72067,0.21078,0.64446,0.99656,0.00188912,0.00188912,0.00188912
30,563.287,1.07863,0.75454,0.40131,0.73469,1.11732,0.90406,0.87195,0.90019,0.64401,0.93578,0.90244,0.95044,0.8989,1.04245,0.65304,0.20385,0.63229,0.98908,0.00188516,0.00188516,0.00188516
31,579.496,1.03745,0.75365,0.39704,0.70225,1.09498,0.97801,0.82927,0.9019,0.64649,0.93557,0.88538,0.95055,0.91297,1.1147,0.64195,0.20034,0.59341,1.0142,0.0018812,0.0018812,0.0018812
32,597.49,1.05492,0.67592,0.37257,0.69746,1.08925,0.92188,0.87805,0.90501,0.63519,0.94663,0.91463,0.95703,0.90471,1.0956,0.69427,0.19747,0.60889,1.00227,0.00187724,0.00187724,0.00187724
